geoname,lntitle,geoid,lnnumber,tot_est,tot_moe,adu_est,adu_moe,cit_est,cit_moe,cvap_est,cvap_moe
Michigan,Asian and White,0400000US26,9,65730,2268,34810,1500,62445,2133,32350,1408
Michigan,Black or African American and White,0400000US26,10,138225,4610,63910,2894,137280,4662,63025,2914
Michigan,American Indian or Alaska Native and Black or African American,0400000US26,11,12265,1392,9415,1039,12205,1389,9355,1041
Michigan,Remainder of Two or More Race Responses,0400000US26,12,31560,2361,19535,1404,30230,2138,18550,1268
Michigan,Hispanic or Latino,0400000US26,13,576810,0,382210,93,495505,2741,306945,2464
Minnesota,Total,0400000US27,1,5713715,0,4396455,282,5509275,4733,4217845,3714
Minnesota,Not Hispanic or Latino,0400000US27,2,5360110,85,4172125,286,5228400,3773,4059465,3044
Minnesota,American Indian or Alaska Native Alone,0400000US27,3,42190,1079,30300,860,41990,1082,30125,861
Minnesota,Asian Alone,0400000US27,4,289120,1908,211625,1116,235540,2485,164265,1933
Minnesota,Black or African American Alone,0400000US27,5,388710,4010,258165,2158,338070,4293,217810,2776
Minnesota,Native Hawaiian or Other Pacific Islander Alone,0400000US27,6,2295,328,1730,286,1845,300,1285,260
Minnesota,White Alone,0400000US27,7,4444580,40,3571270,37,4420510,1596,3549040,1392
Minnesota,American Indian or Alaska Native and White,0400000US27,8,46110,1139,31450,840,46015,1148,31410,839
Minnesota,Asian and White,0400000US27,9,47500,1899,21075,1096,46435,1945,20480,1091
Minnesota,Black or African American and White,0400000US27,10,73860,3258,32175,1810,72990,3253,31410,1796
Minnesota,American Indian or Alaska Native and Black or African American,0400000US27,11,4945,880,3115,639,4860,861,3030,639
Minnesota,Remainder of Two or More Race Responses,0400000US27,12,20800,1789,11215,1046,20150,1758,10605,1000
Minnesota,Hispanic or Latino,0400000US27,13,353610,65,224335,90,280875,2893,158380,2496
Mississippi,Total,0400000US28,1,2951440,0,2259105,482,2910340,1941,2222170,1491
Mississippi,Not Hispanic or Latino,0400000US28,2,2845310,685,2190630,538,2828565,1404,2175305,1186
Mississippi,American Indian or Alaska Native Alone,0400000US28,3,10870,514,7755,395,10755,505,7650,389
Mississippi,Asian Alone,0400000US28,4,28685,1121,23265,849,20865,1057,15995,838
Mississippi,Black or African American Alone,0400000US28,5,1092670,2851,811015,1871,1089260,2912,808140,1883
Mississippi,Native Hawaiian or Other Pacific Islander Alone,0400000US28,6,1185,507,1085,503,1125,501,1030,496
Mississippi,White Alone,0400000US28,7,1650440,33,1312600,52,1645815,674,1308255,612
Mississippi,American Indian or Alaska Native and White,0400000US28,8,14740,827,11645,692,14740,827,11640,694
Mississippi,Asian and White,0400000US28,9,8190,941,4745,722,7980,882,4550,661
Mississippi,Black or African American and White,0400000US28,10,28430,1939,12055,1289,28135,1943,11790,1288
Mississippi,American Indian or Alaska Native and Black or African American,0400000US28,11,3390,591,2800,482,3390,591,2800,482
Mississippi,Remainder of Two or More Race Responses,0400000US28,12,6710,1280,3670,690,6500,1264,3460,668
Mississippi,Hispanic or Latino,0400000US28,13,106125,683,68470,555,81775,1337,46865,1144
Missouri,Total,0400000US29,1,6168180,0,4781610,542,6035610,3738,4663105,3325
Missouri,Not Hispanic or Latino,0400000US29,2,5856255,262,4579325,535,5773135,2924,4505740,2523
Missouri,American Indian or Alaska Native Alone,0400000US29,3,10860,610,8800,496,10805,610,8740,496
Missouri,Asian Alone,0400000US29,4,127775,1631,102580,1184,87235,1860,65910,1440
Missouri,Black or African American Alone,0400000US29,5,687360,3829,509605,2079,672050,4208,496945,2414
Missouri,Native Hawaiian or Other Pacific Islander Alone,0400000US29,6,9050,528,6070,320,6215,477,3760,359
Missouri,White Alone,0400000US29,7,4827760,65,3842075,63,4805260,1680,3821785,1512
Missouri,American Indian or Alaska Native and White,0400000US29,8,56535,814,43925,636,56480,816,43885,635
Missouri,Asian and White,0400000US29,9,35605,1500,18630,1056,34475,1451,17700,1029
Missouri,Black or African American and White,0400000US29,10,75300,2990,31255,1626,74930,2997,30935,1637
Missouri,American Indian or Alaska Native and Black or African American,0400000US29,11,6205,1012,4850,718,6185,1016,4830,724
Missouri,Remainder of Two or More Race Responses,0400000US29,12,19800,1771,11535,1024,19500,1782,11240,1029
Missouri,Hispanic or Latino,0400000US29,13,311925,262,202285,309,262475,2172,157370,1813
Montana,Total,0400000US30,1,1105070,0,870130,280,1093945,925,859640,856
Montana,Not Hispanic or Latino,0400000US30,2,1056555,151,838320,261,1048315,809,830530,762
Montana,American Indian or Alaska Native Alone,0400000US30,3,60945,1208,40735,731,60845,1181,40635,717
Montana,Asian Alone,0400000US30,4,9030,488,7540,416,6715,459,5380,421
Montana,Black or African American Alone,0400000US30,5,5375,403,3880,321,5105,399,3640,316
Montana,Native Hawaiian or Other Pacific Islander Alone,0400000US30,6,535,124,410,97,490,116,370,92
Montana,White Alone,0400000US30,7,944515,16,762625,34,939440,607,757805,547
Montana,American Indian or Alaska Native and White,0400000US30,8,21745,1064,15340,703,21730,1065,15325,703
Montana,Asian and White,0400000US30,9,6365,517,3455,370,6230,507,3320,364
Montana,Black or African American and White,0400000US30,10,4090,474,2060,316,3975,466,1955,300
Montana,American Indian or Alaska Native and Black or African American,0400000US30,11,480,176,225,91,480,176,225,91
Montana,Remainder of Two or More Race Responses,0400000US30,12,3480,507,2050,313,3305,515,1880,320
Montana,Hispanic or Latino,0400000US30,13,48520,148,31810,197,45630,437,29110,440
Nebraska,Total,0400000US31,1,1965925,0,1481175,338,1879075,2601,1406030,2493
Nebraska,Not Hispanic or Latino,0400000US31,2,1723700,55,1332335,277,1689325,1805,1303605,1504
Nebraska,American Indian or Alaska Native Alone,0400000US31,3,11560,513,7775,425,11560,513,7775,425
Nebraska,Asian Alone,0400000US31,4,48870,1100,37190,726,31630,1174,22690,876
Nebraska,Black or African American Alone,0400000US31,5,91415,1661,64360,1036,83145,1745,57935,1167
Nebraska,Native Hawaiian or Other Pacific Islander Alone,0400000US31,6,820,202,640,169,790,196,610,162
Nebraska,White Alone,0400000US31,7,1514905,22,1192850,24,1507630,834,1186475,778
Nebraska,American Indian or Alaska Native and White,0400000US31,8,12835,553,9245,422,12790,555,9200,422
Nebraska,Asian and White,0400000US31,9,13010,1028,6605,642,12190,931,5860,550
Nebraska,Black or African American and White,0400000US31,10,23395,1590,9370,887,22950,1562,8940,845
Nebraska,American Indian or Alaska Native and Black or African American,0400000US31,11,945,234,665,179,915,228,665,179
Nebraska,Remainder of Two or More Race Responses,0400000US31,12,5930,780,3635,553,5725,764,3460,545
Nebraska,Hispanic or Latino,0400000US31,13,242225,48,148840,154,189755,2060,102420,1811
Nevada,Total,0400000US32,1,3141000,0,2448130,363,2862030,5365,2185245,5266
Nevada,Not Hispanic or Latino,0400000US32,2,2223945,0,1813095,368,2133070,3062,1728955,2794
Nevada,American Indian or Alaska Native Alone,0400000US32,3,20310,915,16220,742,20150,915,16060,742
Nevada,Asian Alone,0400000US32,4,271990,2263,228650,1503,221890,2810,182510,2115
Nevada,Black or African American Alone,0400000US32,5,288695,3186,218730,1616,280240,3015,211225,1628
Nevada,Native Hawaiian or Other Pacific Islander Alone,0400000US32,6,21030,692,16050,519,19765,724,14865,574
Nevada,White Alone,0400000US32,7,1478550,10,1249650,8,1450180,1700,1222645,1616
Nevada,American Indian or Alaska Native and White,0400000US32,8,20160,930,16025,731,20035,905,15945,715
Nevada,Asian and White,0400000US32,9,42180,2181,24075,1410,40820,2122,22950,1374
Nevada,Black or African American and White,0400000US32,10,39435,2599,18620,1388,38970,2599,18240,1394
Nevada,American Indian or Alaska Native and Black or African American,0400000US32,11,3600,687,2670,481,3600,687,2670,481
Nevada,Remainder of Two or More Race Responses,0400000US32,12,37995,2312,22400,1582,37420,2328,21845,1602
Nevada,Hispanic or Latino,0400000US32,13,917055,0,635030,0,728955,4334,456295,4247
New Hampshire,Total,0400000US33,1,1387835,0,1130930,173,1353350,1873,1099485,1723
New Hampshire,Not Hispanic or Latino,0400000US33,2,1325075,0,1087735,172,1299525,1390,1064305,1299
New Hampshire,American Indian or Alaska Native Alone,0400000US33,3,1105,235,885,187,1095,231,870,181
New Hampshire,Asian Alone,0400000US33,4,36055,1037,29515,729,26070,1152,20285,929
New Hampshire,Black or African American Alone,0400000US33,5,19895,995,15150,643,16815,1007,12515,665
New Hampshire,Native Hawaiian or Other Pacific Islander Alone,0400000US33,6,255,125,230,120,250,124,225,119
New Hampshire,White Alone,0400000US33,7,1235500,29,1021730,29,1223815,1086,1010970,951
New Hampshire,American Indian or Alaska Native and White,0400000US33,8,8305,235,6930,187,8255,239,6880,195
New Hampshire,Asian and White,0400000US33,9,11735,967,6280,628,11380,944,5930,624
New Hampshire,Black or African American and White,0400000US33,10,8740,885,4555,618,8420,865,4240,580
New Hampshire,American Indian or Alaska Native and Black or African American,0400000US33,11,205,123,205,123,205,123,205,123
New Hampshire,Remainder of Two or More Race Responses,0400000US33,12,3285,622,2250,465,3215,625,2180,467
New Hampshire,Hispanic or Latino,0400000US33,13,62760,0,43190,0,53820,1141,35180,1008
New Jersey,Total,0400000US34,1,9267015,0,7235690,262,8326360,10023,6395960,8578
New Jersey,Not Hispanic or Latino,0400000US34,2,7234045,0,5784155,259,6742385,6980,5346270,5851
New Jersey,American Indian or Alaska Native Alone,0400000US34,3,7220,517,5225,429,6655,513,4735,412
New Jersey,Asian Alone,0400000US34,4,923730,2928,727390,1819,667440,4402,496530,3760
New Jersey,Black or African American Alone,0400000US34,5,1171525,4637,912715,3031,1086385,5440,838985,4267
New Jersey,Native Hawaiian or Other Pacific Islander Alone,0400000US34,6,2555,266,2045,215,2360,277,1885,223
New Jersey,White Alone,0400000US34,7,4921985,32,4022775,32,4781100,3906,3896755,3449
New Jersey,American Indian or Alaska Native and White,0400000US34,8,17685,517,13860,453,17550,531,13750,457
New Jersey,Asian and White,0400000US34,9,70175,2753,32800,1636,66935,2641,30385,1579
New Jersey,Black or African American and White,0400000US34,10,79475,3708,41880,2416,76080,3508,39190,2245
New Jersey,American Indian or Alaska Native and Black or African American,0400000US34,11,8285,896,6505,734,8130,934,6355,774
New Jersey,Remainder of Two or More Race Responses,0400000US34,12,31415,2197,18960,1516,29745,2119,17705,1451
New Jersey,Hispanic or Latino,0400000US34,13,2032970,0,1451540,0,1583975,7512,1049690,6776
New Mexico,Total,0400000US35,1,2114770,0,1648150,430,2007290,3848,1547330,3718
New Mexico,Not Hispanic or Latino,0400000US35,2,1096445,0,910660,427,1075230,1532,891935,1321
New Mexico,American Indian or Alaska Native Alone,0400000US35,3,182415,1495,137605,1174,182385,1491,137600,1174
New Mexico,Asian Alone,0400000US35,4,34240,944,27780,744,24255,1258,19065,1076
New Mexico,Black or African American Alone,0400000US35,5,39085,1158,31735,885,35990,1109,29305,864
New Mexico,Native Hawaiian or Other Pacific Islander Alone,0400000US35,6,1320,319,1245,307,1130,295,1115,292
New Mexico,White Alone,0400000US35,7,791035,3,680010,2,783575,870,672990,793
New Mexico,American Indian or Alaska Native and White,0400000US35,8,19520,1222,14540,1003,19495,1224,14515,1004
New Mexico,Asian and White,0400000US35,9,9530,800,6295,690,9365,823,6150,699
New Mexico,Black or African American and White,0400000US35,10,11350,1151,6450,802,11245,1145,6345,791
New Mexico,American Indian or Alaska Native and Black or African American,0400000US35,11,2250,534,1100,312,2250,534,1100,312
New Mexico,Remainder of Two or More Race Responses,0400000US35,12,5690,892,3895,615,5540,884,3750,602
New Mexico,Hispanic or Latino,0400000US35,13,1018320,0,737490,0,932055,3592,655390,3508
New York,Total,0400000US36,1,19872320,0,15763040,353,18059540,17222,14096915,15383
New York,Not Hispanic or Latino,0400000US36,2,15973665,0,12894745,349,14909110,10763,11913320,9364
New York,American Indian or Alaska Native Alone,0400000US36,3,39845,1392,30115,1138,37720,1509,28415,1183
New York,Asian Alone,0400000US36,4,1810930,4713,1462860,3491,1329050,6481,1015160,5905
New York,Black or African American Alone,0400000US36,5,2825980,6648,2231450,4938,2587255,8632,2013970,6801
New York,Native Hawaiian or Other Pacific Islander Alone,0400000US36,6,9225,512,7275,448,7420,636,5560,594
New York,White Alone,0400000US36,7,10815805,31,8880205,31,10505040,5823,8591960,4829
New York,American Indian or Alaska Native and White,0400000US36,8,51170,1375,39880,1173,50845,1398,39570,1190
New York,Asian and White,0400000US36,9,145235,4675,78645,3366,129595,4027,66395,2845
New York,Black or African American and White,0400000US36,10,184580,5698,99210,4074,177480,5142,92860,3642
New York,American Indian or Alaska Native and Black or African American,0400000US36,11,20305,1598,16640,1352,19840,1615,16185,1371
New York,Remainder of Two or More Race Responses,0400000US36,12,70590,3153,48465,2369,64870,3105,43240,2267
New York,Hispanic or Latino,0400000US36,13,3898650,0,2868300,34,3150430,11942,2183595,10508
North Carolina,Total,0400000US37,1,10584340,0,8261515,575,10051540,8366,7783960,7046
North Carolina,Not Hispanic or Latino,0400000US37,2,9425590,0,7530845,506,9219735,4508,7348700,3694
North Carolina,American Indian or Alaska Native Alone,0400000US37,3,90070,1220,69480,883,89965,1218,69385,887
North Carolina,Asian Alone,0400000US37,4,335010,2664,259495,1743,231255,3255,166840,2372
North Carolina,Black or African American Alone,0400000US37,5,2167140,5918,1679955,3007,2131875,6879,1650335,3872
North Carolina,Native Hawaiian or Other Pacific Islander Alone,0400000US37,6,5695,600,4485,488,5160,567,3945,459
North Carolina,White Alone,0400000US37,7,6496170,4,5333885,6,6435660,2541,5279320,2286
North Carolina,American Indian or Alaska Native and White,0400000US37,8,64370,1599,48930,1145,64315,1601,48875,1143
North Carolina,Asian and White,0400000US37,9,59190,2477,29820,1565,56475,2255,27745,1361
North Carolina,Black or African American and White,0400000US37,10,140685,5174,62625,2366,139020,5176,61095,2410
North Carolina,American Indian or Alaska Native and Black or African American,0400000US37,11,21855,2127,15390,1410,21800,2116,15335,1399
North Carolina,Remainder of Two or More Race Responses,0400000US37,12,45405,2492,26775,1702,44220,2507,25830,1750
North Carolina,Hispanic or Latino,0400000US37,13,1158750,0,730670,222,831805,6681,435260,5800
North Dakota,Total,0400000US38,1,779360,0,594570,392,759150,1261,576735,1133
North Dakota,Not Hispanic or Latino,0400000US38,2,744400,105,573250,337,726555,1066,557730,940
North Dakota,American Indian or Alaska Native Alone,0400000US38,3,33395,729,21470,466,33345,739,21450,465
North Dakota,Asian Alone,0400000US38,4,12010,563,9630,363,5675,497,4000,392
North Dakota,Black or African American Alone,0400000US38,5,24860,777,17075,478,18050,1123,11470,774
North Dakota,Native Hawaiian or Other Pacific Islander Alone,0400000US38,6,1145,409,870,284,970,410,750,293
North Dakota,White Alone,0400000US38,7,649850,3,511805,8,645870,515,508105,472
North Dakota,American Indian or Alaska Native and White,0400000US38,8,11720,696,7400,483,11710,697,7390,486
North Dakota,Asian and White,0400000US38,9,4225,554,1980,345,4125,538,1875,343
North Dakota,Black or African American and White,0400000US38,10,5025,667,1845,329,4700,650,1570,309
North Dakota,American Indian or Alaska Native and Black or African American,0400000US38,11,385,215,260,181,385,215,260,181
North Dakota,Remainder of Two or More Race Responses,0400000US38,12,1780,472,910,255,1725,467,855,248
North Dakota,Hispanic or Latino,0400000US38,13,34965,109,21320,196,32595,512,19005,492
Ohio,Total,0400000US39,1,11780045,0,9169865,512,11502000,6663,8925465,5494
Ohio,Not Hispanic or Latino,0400000US39,2,11242485,176,8821090,484,11042815,5330,8645915,4354
Ohio,American Indian or Alaska Native Alone,0400000US39,3,7510,514,6390,425,7435,514,6310,427
Ohio,Asian Alone,0400000US39,4,288355,3061,226255,1841,192010,3479,140485,2698
Ohio,Black or African American Alone,0400000US39,5,1445265,4854,1070005,3102,1401345,5358,1033725,3695
Ohio,Native Hawaiian or Other Pacific Islander Alone,0400000US39,6,3735,530,2880,436,3390,508,2535,408
Ohio,White Alone,0400000US39,7,9118895,30,7310260,30,9064445,2859,7261425,2415
Ohio,American Indian or Alaska Native and White,0400000US39,8,59055,676,47075,528,58955,677,46980,529
Ohio,Asian and White,0400000US39,9,66260,2867,34405,1796,63605,2778,32180,1690
Ohio,Black or African American and White,0400000US39,10,200175,4464,89050,2337,199045,4480,88145,2349
Ohio,American Indian or Alaska Native and Black or African American,0400000US39,11,14140,1674,11290,1268,14060,1659,11215,1256
Ohio,Remainder of Two or More Race Responses,0400000US39,12,39100,2477,23480,1647,38525,2466,22915,1638
Ohio,Hispanic or Latino,0400000US39,13,537560,176,348775,249,459185,3217,279550,2736
Oklahoma,Total,0400000US40,1,3995260,0,3031875,317,3845760,3362,2893665,3148
Oklahoma,Not Hispanic or Latino,0400000US40,2,3504465,0,2728880,306,3456795,2107,2684905,1997
Oklahoma,American Indian or Alaska Native Alone,0400000US40,3,272560,2823,196745,2016,272280,2815,196520,2005
Oklahoma,Asian Alone,0400000US40,4,93180,1434,72725,964,68780,1802,50530,1305
Oklahoma,Black or African American Alone,0400000US40,5,276570,2536,207925,1548,270480,2427,202415,1526
Oklahoma,Native Hawaiian or Other Pacific Islander Alone,0400000US40,6,6355,402,4295,252,4115,379,2185,317
Oklahoma,White Alone,0400000US40,7,2539080,16,2050915,16,2525670,1170,2038175,1159
Oklahoma,American Indian or Alaska Native and White,0400000US40,8,197430,2894,134770,2035,197345,2888,134700,2030
Oklahoma,Asian and White,0400000US40,9,21365,1307,12080,885,20815,1240,11545,821
Oklahoma,Black or African American and White,0400000US40,10,52965,1978,23770,1153,52535,1977,23355,1143
Oklahoma,American Indian or Alaska Native and Black or African American,0400000US40,11,18775,1215,12280,804,18775,1215,12280,804
Oklahoma,Remainder of Two or More Race Responses,0400000US40,12,26175,1877,13370,977,26000,1851,13200,968
Oklahoma,Hispanic or Latino,0400000US40,13,490795,0,302995,0,388970,2331,208765,1982
Oregon,Total,0400000US41,1,4238715,0,3382420,390,4030470,4849,3188940,4400
Oregon,Not Hispanic or Latino,0400000US41,2,3633245,0,2978410,387,3541140,2993,2894860,2615
Oregon,American Indian or Alaska Native Alone,0400000US41,3,28595,1440,22975,1091,28485,1435,22865,1084
Oregon,Asian Alone,0400000US41,4,187530,2704,155095,2187,141970,2903,113620,2428
Oregon,Black or African American Alone,0400000US41,5,80250,1865,60850,1243,74865,2035,56180,1346
Oregon,Native Hawaiian or Other Pacific Islander Alone,0400000US41,6,16465,828,12445,569,13320,764,9420,535
Oregon,White Alone,0400000US41,7,3131615,31,2602575,10,3096250,1974,2570510,1694
Oregon,American Indian or Alaska Native and White,0400000US41,8,62345,1407,49245,1028,62020,1416,48920,1028
Oregon,Asian and White,0400000US41,9,62585,2381,36840,1823,61425,2378,35875,1805
Oregon,Black or African American and White,0400000US41,10,33735,1662,18935,1162,33150,1697,18405,1197
Oregon,American Indian or Alaska Native and Black or African American,0400000US41,11,1590,384,1325,335,1590,384,1325,335
Oregon,Remainder of Two or More Race Responses,0400000US41,12,28545,2220,18120,1436,28075,2197,17735,1421
Oregon,Hispanic or Latino,0400000US41,13,605465,0,404010,60,489330,3352,294080,3060
Pennsylvania,Total,0400000US42,1,12986520,0,10312705,246,12558570,7462,9931715,6325
Pennsylvania,Not Hispanic or Latino,0400000US42,2,11898785,0,9591275,243,11610415,5243,9333750,4540
Pennsylvania,American Indian or Alaska Native Alone,0400000US42,3,7475,551,6150,458,7385,549,6060,458
Pennsylvania,Asian Alone,0400000US42,4,482055,2835,381130,1843,339600,3625,252330,2967
Pennsylvania,Black or African American Alone,0400000US42,5,1359605,5488,1031590,3395,1309460,5940,987215,3659
Pennsylvania,Native Hawaiian or Other Pacific Islander Alone,0400000US42,6,2895,503,2370,427,2750,489,2240,419
Pennsylvania,White Alone,0400000US42,7,9721775,147,7990685,149,9634840,3683,7913980,3084
Pennsylvania,American Indian or Alaska Native and White,0400000US42,8,39880,655,31065,518,39800,648,30985,514
Pennsylvania,Asian and White,0400000US42,9,76065,2844,39595,1813,71865,2580,35975,1540
Pennsylvania,Black or African American and White,0400000US42,10,158245,4366,74760,2740,155805,4320,72785,2707
Pennsylvania,American Indian or Alaska Native and Black or African American,0400000US42,11,12395,1445,9810,1120,12300,1442,9720,1116
Pennsylvania,Remainder of Two or More Race Responses,0400000US42,12,38395,2826,24130,1853,36600,2736,22460,1705
Pennsylvania,Hispanic or Latino,0400000US42,13,1087730,0,721430,59,948155,4585,597965,4005
Rhode Island,Total,0400000US44,1,1095370,0,886890,122,1021400,3652,821455,2906
Rhode Island,Not Hispanic or Latino,0400000US44,2,907870,0,758165,122,873955,2041,727400,1808
Rhode Island,American Indian or Alaska Native Alone,0400000US44,3,1970,407,1475,312,1970,407,1475,312
Rhode Island,Asian Alone,0400000US44,4,38070,662,30760,508,25430,1051,19615,934
Rhode Island,Black or African American Alone,0400000US44,5,65970,1727,51450,1150,58480,1637,44820,1259
Rhode Island,Native Hawaiian or Other Pacific Islander Alone,0400000US44,6,610,183,545,166,530,200,465,190
Rhode Island,White Alone,0400000US44,7,771130,34,656025,34,758245,1333,643670,1267
Rhode Island,American Indian or Alaska Native and White,0400000US44,8,5490,411,4295,313,5460,408,4260,306
Rhode Island,Asian and White,0400000US44,9,6850,705,3575,496,6755,719,3485,497
Rhode Island,Black or African American and White,0400000US44,10,12800,1483,6350,984,12180,1325,5980,898
Rhode Island,American Indian or Alaska Native and Black or African American,0400000US44,11,1455,364,1370,342,1455,364,1370,342
Rhode Island,Remainder of Two or More Race Responses,0400000US44,12,3525,684,2325,505,3450,666,2255,490
Rhode Island,Hispanic or Latino,0400000US44,13,187505,0,128725,0,147445,2917,94055,2319
South Carolina,Total,0400000US45,1,5212775,0,4085710,549,5049745,4135,3939065,3331
South Carolina,Not Hispanic or Latino,0400000US45,2,4843875,408,3846370,483,4777940,2659,3787090,2198
South Carolina,American Indian or Alaska Native Alone,0400000US45,3,9425,705,7785,587,9405,702,7765,585
South Carolina,Asian Alone,0400000US45,4,89710,1387,71995,1009,65075,1619,49300,1548
South Carolina,Black or African American Alone,0400000US45,5,1316135,3693,1006000,2521,1306210,3980,997760,2759
South Carolina,Native Hawaiian or Other Pacific Islander Alone,0400000US45,6,3090,591,2075,322,2245,391,1495,284
South Carolina,White Alone,0400000US45,7,3281000,33,2678570,33,3252065,2000,2652240,1689
South Carolina,American Indian or Alaska Native and White,0400000US45,8,29920,1116,23575,769,29880,1115,23540,762
South Carolina,Asian and White,0400000US45,9,24435,1325,13715,897,23620,1323,13035,888
South Carolina,Black or African American and White,0400000US45,10,68120,3115,27695,1876,67695,3078,27290,1820
South Carolina,American Indian or Alaska Native and Black or African American,0400000US45,11,6965,1285,5545,1056,6945,1283,5530,1055
South Carolina,Remainder of Two or More Race Responses,0400000US45,12,15080,1470,9415,992,14800,1452,9140,978
South Carolina,Hispanic or Latino,0400000US45,13,368900,410,239345,402,271800,3615,151975,3034
South Dakota,Total,0400000US46,1,899195,0,679375,369,879675,1321,662330,1207
South Dakota,Not Hispanic or Latino,0400000US46,2,857915,206,655085,307,845950,1094,644630,907
South Dakota,American Indian or Alaska Native Alone,0400000US46,3,66415,1026,41810,690,66400,1029,41795,691
South Dakota,Asian Alone,0400000US46,4,12335,709,9495,511,8055,632,5625,553
South Dakota,Black or African American Alone,0400000US46,5,19500,847,12605,478,15685,939,9455,647
South Dakota,Native Hawaiian or Other Pacific Islander Alone,0400000US46,6,625,354,485,270,345,205,260,174
South Dakota,White Alone,0400000US46,7,729255,63,574050,162,725960,822,571105,720
South Dakota,American Indian or Alaska Native and White,0400000US46,8,16870,1017,10445,648,16870,1017,10445,648
South Dakota,Asian and White,0400000US46,9,4595,662,2570,462,4455,643,2445,446
South Dakota,Black or African American and White,0400000US46,10,5105,630,2140,368,5055,634,2100,369
South Dakota,American Indian or Alaska Native and Black or African American,0400000US46,11,800,308,330,131,800,308,330,131
South Dakota,Remainder of Two or More Race Responses,0400000US46,12,2415,475,1155,290,2325,455,1065,290
South Dakota,Hispanic or Latino,0400000US46,13,41280,203,24290,250,33720,657,17700,567
Tennessee,Total,0400000US47,1,6986080,0,5428075,718,6737405,6393,5213590,4857
Tennessee,Not Hispanic or Latino,0400000US47,2,6489625,264,5122330,612,6394955,3890,5040075,3257
Tennessee,American Indian or Alaska Native Alone,0400000US47,3,7020,549,5920,456,6980,547,5890,456
Tennessee,Asian Alone,0400000US47,4,129145,1667,101645,1260,89225,1992,66235,1620
Tennessee,Black or African American Alone,0400000US47,5,1110310,4386,835020,2861,1091535,4844,819595,3190
Tennessee,Native Hawaiian or Other Pacific Islander Alone,0400000US47,6,3820,733,3045,624,3110,615,2340,481
Tennessee,White Alone,0400000US47,7,5051270,281,4068705,213,5018125,2392,4039815,1732
Tennessee,American Indian or Alaska Native and White,0400000US47,8,47025,1026,38165,859,46970,1025,38110,859
Tennessee,Asian and White,0400000US47,9,31515,1627,17555,1142,30285,1563,16515,1085
Tennessee,Black or African American and White,0400000US47,10,85585,3568,36890,1959,85025,3589,36430,1957
Tennessee,American Indian or Alaska Native and Black or African American,0400000US47,11,5995,890,4650,613,5880,884,4540,594
Tennessee,Remainder of Two or More Race Responses,0400000US47,12,17940,1688,10730,1107,17810,1696,10600,1111
Tennessee,Hispanic or Latino,0400000US47,13,496455,264,305745,356,342450,4734,173515,3414
Texas,Total,0400000US48,1,29640345,0,22157815,1037,26673170,28800,19470070,25753
Texas,Not Hispanic or Latino,0400000US48,2,17943210,0,14086955,1018,17125865,13243,13381740,10812
Texas,American Indian or Alaska Native Alone,0400000US48,3,45985,1399,37540,1158,45660,1396,37295,1147
Texas,Asian Alone,0400000US48,4,1568495,5198,1221365,3301,1113460,7777,821010,6109
Texas,Black or African American Alone,0400000US48,5,3566675,9527,2679165,5291,3424465,11551,2561215,7198
Texas,Native Hawaiian or Other Pacific Islander Alone,0400000US48,6,24845,1362,19010,1081,21140,1379,15665,1020
Texas,White Alone,0400000US48,7,12036535,515,9720675,452,11839930,6776,9552370,5050
Texas,American Indian or Alaska Native and White,0400000US48,8,151655,1805,122000,1620,151320,1821,121690,1634
Texas,Asian and White,0400000US48,9,169210,4723,89890,3119,158655,4335,82195,2926
Texas,Black or African American and White,0400000US48,10,250260,8220,116430,3933,245780,8276,112865,3964
Texas,American Indian or Alaska Native and Black or African American,0400000US48,11,28790,2662,22150,1765,28685,2659,22040,1766
Texas,Remainder of Two or More Race Responses,0400000US48,12,100760,4726,58730,2883,96775,4599,55390,2715
Texas,Hispanic or Latino,0400000US48,13,11697135,0,8070855,148,9547305,24282,6088330,21851
Utah,Total,0400000US49,1,3331185,0,2387055,267,3169280,4489,2239570,4038
Utah,Not Hispanic or Latino,0400000US49,2,2818175,90,2056985,222,2764540,2891,2009125,2420
Utah,American Indian or Alaska Native Alone,0400000US49,3,23135,1085,17710,834,22960,1063,17535,807
Utah,Asian Alone,0400000US49,4,78130,1601,64060,1177,54590,1701,42910,1373
Utah,Black or African American Alone,0400000US49,5,35775,1316,24995,855,31160,1358,21055,954
Utah,Native Hawaiian or Other Pacific Islander Alone,0400000US49,6,30480,1462,21210,735,26465,1362,17400,775
Utah,White Alone,0400000US49,7,2552740,197,1876065,169,2533340,1515,1858805,1340
Utah,American Indian or Alaska Native and White,0400000US49,8,19935,1065,13360,794,19870,1065,13305,792
Utah,Asian and White,0400000US49,9,34310,1368,17985,1012,33550,1343,17340,1007
Utah,Black or African American and White,0400000US49,10,17505,1222,8575,818,17050,1175,8235,786
Utah,American Indian or Alaska Native and Black or African American,0400000US49,11,540,222,360,201,540,222,360,201
Utah,Remainder of Two or More Race Responses,0400000US49,12,25620,1889,12665,1109,25020,1841,12180,1092
Utah,Hispanic or Latino,0400000US49,13,513015,90,330070,138,404740,3228,230445,3006
Vermont,Total,0400000US50,1,645255,0,528075,62,634330,951,518190,797
Vermont,Not Hispanic or Latino,0400000US50,2,629195,0,516110,55,619020,920,506915,770
Vermont,American Indian or Alaska Native Alone,0400000US50,3,900,166,710,130,900,166,710,131
